GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
AKT1,ANK3,GO:0045838,positive regulation of membrane potential,0.0158531454505639,0.0623966258855306,0.0417856430223212
CREB3L1,SPRY2,GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway,0.192542879727241,0.345580766779852,0.231427811217458
PTPRS,PTPRO,GO:0035335,peptidyl-tyrosine dephosphorylation,0.366961287346244,0.532776101992971,0.356788395089558
TRPM1,GRM8,GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.00964826347178884,0.0442349622314674,0.0296231777708766
MTHFD1,BLMH,GO:0050667,homocysteine metabolic process,0.00964826347178884,0.0442349622314674,0.0296231777708766
RELB,IL10,GO:0032480,negative regulation of type I interferon production,0.061381639276811,0.160419390592233,0.107429324807446
BCL2,CDK5R1,GO:0021548,pons development,0.0286039492507729,0.0937459059380528,0.0627795638744619
SLC16A9,ABCG2,GO:0046415,urate metabolic process,0.00528219094557074,0.0288903504778155,0.0193472299939809
CD36,PSEN1,GO:0050820,positive regulation of coagulation,0.0386210892145194,0.114083137278961,0.0763989587826508
SPI1,VDR,GO:0060561,apoptotic process involved in morphogenesis,0.0791304324606602,0.190352113336619,0.127474608499189
PVR,HAVCR2,GO:0002834,regulation of response to tumor cell,0.00881986541200165,0.041501936527663,0.0277929307854145
GHRL,NDUFAF2,GO:0046676,negative regulation of insulin secretion,0.179213546915161,0.327844577291899,0.219550276623208
ITPKB,PNP,GO:0046638,positive regulation of alpha-beta T cell differentiation,0.244549589569867,0.399099093988084,0.267267853593748
PLCG2,TGFB2,GO:0010934,macrophage cytokine production,0.0825006479745693,0.196217757344922,0.131402700814254
IL6,ITPKB,GO:0001780,neutrophil homeostasis,0.0345210266223321,0.106062564822355,0.0710277584533052
CLDN1,IL6,GO:0097421,liver regeneration,0.0338933800191776,0.105509698306796,0.070657515951723
NUP62,XRCC3,GO:0010824,regulation of centrosome duplication,0.175631013654757,0.324405729917203,0.217247356444946
BACE2,ABCA7,GO:1903019,negative regulation of glycoprotein metabolic process,0.0982641658746686,0.222488722113451,0.148995786018631
TREM2,DAB1,GO:0048712,negative regulation of astrocyte differentiation,0.0125064503869282,0.0532020429158216,0.0356282337672725
NOTCH1,ANTXR1,GO:1903054,negative regulation of extracellular matrix organization,0.00725087606427079,0.0356556841325609,0.0238778246056624
TREM2,CASP3,GO:0034349,glial cell apoptotic process,0.00246636519602111,0.0162612882078838,0.0108898257637243
PEX6,ABCD2,GO:0015919,peroxisomal membrane transport,0.365131456828503,0.531790972104941,0.356128675349146
RFX6,ADCY8,GO:0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus,0.0255613833357577,0.0875711308237231,0.0586444532814014
VPS13C,SORL1,GO:0006623,protein targeting to vacuole,0.125029329746913,0.263747022607441,0.176625559130278
PSEN2,SFXN1,GO:1990542,mitochondrial transmembrane transport,0.836890325831406,0.871015950768221,0.583300155561593
MSX2,TRAF2,GO:0023019,signal transduction involved in regulation of gene expression,0.160334821459893,0.30465166204561,0.204018493239499
INPP5D,MTMR2,GO:0046839,phospholipid dephosphorylation,0.15452346949339,0.296275393440564,0.198409091051124
MSX2,ESR1,GO:0060444,branching involved in mammary gland duct morphogenesis,0.0131296581101498,0.0549804433362521,0.0368191892727062
FBXL7,FBXL3,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,0.197756158695495,0.349007360648242,0.233722525493029
AKT1,PRKAA1,GO:0071379,cellular response to prostaglandin stimulus,0.129999096096003,0.26576791629058,0.17797890702099
PPARG,PARP1,GO:0060390,regulation of SMAD protein signal transduction,0.130522799952544,0.265824673063972,0.17801691577929
MICALL2,EPG5,GO:0032456,endocytic recycling,0.643468529864037,0.737347152779365,0.493785112132293
SGK1,PARK7,GO:0110096,cellular response to aldehyde,0.0890140265647768,0.205975942160881,0.137937541784879
LMOD3,PLEC,GO:0030239,myofibril assembly,0.935261400793962,0.947311667940422,0.634393713212262
CDON,GREM2,GO:0010172,embryonic body morphogenesis,0.0286039492507729,0.0937459059380528,0.0627795638744619
GHRL,TGFB2,GO:1903524,positive regulation of blood circulation,0.11583017086279,0.248882903573983,0.166671386721776
AICDA,RTF2,GO:0033260,nuclear DNA replication,0.43655561089984,0.608350716583657,0.407399046258891
AGT,AKAP6,GO:0003298,physiological muscle hypertrophy,0.0437310247062749,0.124740262055248,0.0835358000016485
PLEC,BFSP2,GO:0045104,intermediate filament cytoskeleton organization,0.673306098714712,0.753714212648936,0.504745770843062
ECE1,SEMA3A,GO:1902285,semaphorin-plexin signaling pathway involved in neuron projection guidance,0.00246636519602111,0.0162612882078838,0.0108898257637243
TSPO,IREB2,GO:0042168,heme metabolic process,0.164942373626622,0.312399689978337,0.209207176517307
ACE,EIF2AK2,GO:0060218,hematopoietic stem cell differentiation,0.179213546915161,0.327844577291899,0.219550276623208
LEPR,TP53,GO:0045912,negative regulation of carbohydrate metabolic process,0.421484486665751,0.592389161711863,0.39670994529408
CHI3L1,TNKS1BP1,GO:0010800,positive regulation of peptidyl-threonine phosphorylation,0.0338933800191776,0.105509698306796,0.070657515951723
NPAS4,GABRA2,GO:1904862,inhibitory synapse assembly,0.341618220755253,0.507222621398381,0.339675793198837
ICAM1,SPRY2,GO:1990830,cellular response to leukemia inhibitory factor,0.768037433681762,0.82184187095965,0.550369359774628
SOD2,AGT,GO:0001976,nervous system process involved in regulation of systemic arterial blood pressure,0.0547889763815444,0.146701092073381,0.0982424831049156
AGT,NOS3,GO:0001990,regulation of systemic arterial blood pressure by hormone,0.0984520142459282,0.222488722113451,0.148995786018631
CRHR1,KCNQ1,GO:0035933,glucocorticoid secretion,0.00528219094557074,0.0288903504778155,0.0193472299939809
ERBB4,TNF,GO:2000010,positive regulation of protein localization to cell surface,0.0070834968205077,0.0354234921575177,0.0237223307653447
OGG1,XRCC1,GO:0006284,base-excision repair,0.519068139164123,0.663722782153907,0.444480496297098
CST3,ABCA7,GO:1903019,negative regulation of glycoprotein metabolic process,0.0982641658746686,0.222488722113451,0.148995786018631
CHAT,PEMT,GO:0006656,phosphatidylcholine biosynthetic process,0.108563491611547,0.238040292503415,0.159410329425893
IL18,ITPKB,GO:0046638,positive regulation of alpha-beta T cell differentiation,0.244549589569867,0.399099093988084,0.267267853593748
GHRL,AGT,GO:0035930,corticosteroid hormone secretion,0.00560063863233742,0.0300194230693286,0.020103344985548
CTSH,FBXL3,GO:0031648,protein destabilization,0.186574158922583,0.339518901545539,0.22736831387869
BACE1,CTNNA2,GO:0001964,startle response,0.0186708153280529,0.0713898360403373,0.0478081973483013
NIBAN2,NRP1,GO:0030947,regulation of vascular endothelial growth factor receptor signaling pathway,0.349274226754344,0.515345555791694,0.345115543057674
IQGAP2,CTNNA2,GO:0045010,actin nucleation,0.319126681339641,0.481097139651885,0.322180134762947
PKHD1,PLK2,GO:0010824,regulation of centrosome duplication,0.175631013654757,0.324405729917203,0.217247356444946
PPARA,IGF1,GO:0061050,regulation of cell growth involved in cardiac muscle cell development,0.0405683586718216,0.118235809554652,0.0791799117402518
BCL2,TPH1,GO:0030279,negative regulation of ossification,0.232874995513615,0.389733458287901,0.260995894100892
CREB3L1,PPARD,GO:0010712,regulation of collagen metabolic process,0.15452346949339,0.296275393440564,0.198409091051124
SALL1,WNT3,GO:0031128,developmental induction,0.0680394336570113,0.17092479797262,0.114464564235395
NIT2,MTHFD1,GO:0009066,aspartate family amino acid metabolic process,0.186574158922583,0.339518901545539,0.22736831387869
ACE,CACNA1G,GO:0070509,calcium ion import,0.37769538107563,0.546074538210377,0.365694064276784
HIP1R,GSK3B,GO:1901030,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,0.174282133752023,0.323032838919184,0.216327961648551
IL1RAP,APP,GO:0099174,regulation of presynapse organization,0.061381639276811,0.160419390592233,0.107429324807446
MC1R,LEPR,GO:0060259,regulation of feeding behavior,0.0255613833357577,0.0875711308237231,0.0586444532814014
CAMK1,APOE,GO:0060999,positive regulation of dendritic spine development,0.0825006479745693,0.196217757344922,0.131402700814254
CHD5,TOP1,GO:0071103,DNA conformation change,0.810104748369562,0.849435816536891,0.568848416023331
LIPG,APOD,GO:0050746,regulation of lipoprotein metabolic process,0.101996775409744,0.226762061770683,0.151857547258058
LRP8,RAB21,GO:0050775,positive regulation of dendrite morphogenesis,0.192230163035121,0.345580766779852,0.231427811217458
CD36,SUMO1,GO:0042308,negative regulation of protein import into nucleus,0.0125064503869282,0.0532020429158216,0.0356282337672725
PIP4K2A,FEZ1,GO:2000785,regulation of autophagosome assembly,0.15452346949339,0.296275393440564,0.198409091051124
SOD1,ABCC9,GO:0033198,response to ATP,0.0492267947051776,0.135373685439238,0.0906567689214068
PARK7,BRCA2,GO:0016574,histone ubiquitination,0.421484486665751,0.592389161711863,0.39670994529408
AKAP6,ANK3,GO:1902259,regulation of delayed rectifier potassium channel activity,0.144904219000033,0.287468127598989,0.19251105952721
NIBAN2,KDM1B,GO:0044030,regulation of DNA methylation,0.108563491611547,0.238040292503415,0.159410329425893
LIN28B,ESR1,GO:1903799,negative regulation of miRNA maturation,0.00246636519602111,0.0162612882078838,0.0108898257637243
HTR2A,RHOA,GO:0014829,vascular associated smooth muscle contraction,0.0255613833357577,0.0875711308237231,0.0586444532814014
SLC4A2,SLC4A8,GO:0015701,bicarbonate transport,0.278372200492625,0.43790888316556,0.293257912724776
MMP12,TLR4,GO:0032727,positive regulation of interferon-alpha production,0.176233302734872,0.324405729917203,0.217247356444946
SRC,WDR81,GO:0043551,regulation of phosphatidylinositol 3-kinase activity,0.478575834324626,0.640194925871464,0.428724410294912
CRADD,WAC,GO:0031571,mitotic G1 DNA damage checkpoint signaling,0.108563491611547,0.238040292503415,0.159410329425893
PELI3,UBR5,GO:0070534,protein K63-linked ubiquitination,0.293857352237274,0.454031171066816,0.304054653051422
ZDHHC3,APOB,GO:0044872,lipoprotein localization,0.00881986541200165,0.041501936527663,0.0277929307854145
CD34,SPI1,GO:1904238,pericyte cell differentiation,0.0286039492507729,0.0937459059380528,0.0627795638744619
ABCC9,NOS3,GO:0045776,negative regulation of blood pressure,0.186574158922583,0.339518901545539,0.22736831387869
RBFOX1,NRXN1,GO:0050885,neuromuscular process controlling balance,0.209161026137113,0.363646908939428,0.243526307832571
PTK2B,ADNP,GO:0019934,cGMP-mediated signaling,0.075080617955479,0.183719060287371,0.123032599289068
APOE,TNF,GO:0051000,positive regulation of nitric-oxide synthase activity,0.0108291573008633,0.0479567768000515,0.0321155948327132
PLAU,LRRK2,GO:0010955,negative regulation of protein processing,0.108563491611547,0.238040292503415,0.159410329425893
ABCC2,SLC11A2,GO:0042168,heme metabolic process,0.164942373626622,0.312399689978337,0.209207176517307
NOS3,F2,GO:0010544,negative regulation of platelet activation,0.0290335206619672,0.0942111380423549,0.0630911195452533
LMOD3,MICAL2,GO:0030042,actin filament depolymerization,0.519911831250129,0.664225386143177,0.444817079094311
LRP2,ROBO1,GO:0003148,outflow tract septum morphogenesis,0.0186708153280529,0.0713898360403373,0.0478081973483013
ROBO1,TGFB2,GO:0003184,pulmonary valve morphogenesis,0.00331336061107796,0.020370833555525,0.0136418975695876
VEGFA,TPH1,GO:0060749,mammary gland alveolus development,0.0345210266223321,0.106062564822355,0.0710277584533052
SHANK2,SYNGAP1,GO:0099558,maintenance of synapse structure,0.0471770700875902,0.131515841719353,0.0880732561396295
INSIG1,LRRK2,GO:0070972,protein localization to endoplasmic reticulum,0.556097141460226,0.684492078187762,0.458389235392826
ESR1,TP53,GO:1903799,negative regulation of miRNA maturation,0.00246636519602111,0.0162612882078838,0.0108898257637243
PNP,OARD1,GO:0042278,purine nucleoside metabolic process,0.518017851555414,0.662954906179883,0.443966266707267
RAB38,SLC44A5,GO:0006656,phosphatidylcholine biosynthetic process,0.108563491611547,0.238040292503415,0.159410329425893
PLPP4,INPP5D,GO:0046839,phospholipid dephosphorylation,0.15452346949339,0.296275393440564,0.198409091051124
PARK7,ZDHHC3,GO:0036462,TRAIL-activated apoptotic signaling pathway,0.045115966472311,0.127031393658427,0.0850701202622221
DCC,USP8,GO:0099170,postsynaptic modulation of chemical synaptic transmission,0.00246636519602111,0.0162612882078838,0.0108898257637243
APOE,PAIP1,GO:0044794,positive regulation by host of viral process,0.129999096096003,0.26576791629058,0.17797890702099
PPARG,SPI1,GO:1904177,regulation of adipose tissue development,0.00528219094557074,0.0288903504778155,0.0193472299939809
MAP2K5,ABCA1,GO:0034616,response to laminar fluid shear stress,0.000852649428495685,0.00702646459006752,0.00470546823490382
PPP3R1,FYN,GO:1905664,regulation of calcium ion import across plasma membrane,0.0767841761331909,0.186304322008763,0.124763891997227
FNIP1,PRKAA1,GO:0032007,negative regulation of TOR signaling,0.649141284505796,0.737347152779365,0.493785112132293
BST1,TLR4,GO:0030890,positive regulation of B cell proliferation,0.550198022362427,0.679222684222963,0.454860438570366
FYN,BCL11A,GO:1902065,response to L-glutamate,0.174282133752023,0.323032838919184,0.216327961648551
TUSC2,GAPDH,GO:0051873,killing by host of symbiont cells,0.0338933800191776,0.105509698306796,0.070657515951723
ATF7IP,TP53,GO:0060260,regulation of transcription initiation by RNA polymerase II,0.421446166664102,0.592389161711863,0.39670994529408
RAP1A,PLK2,GO:0032486,Rap protein signal transduction,0.00125740754547563,0.00951801945151053,0.00637400752742555
TREM2,NECTIN2,GO:0002714,positive regulation of B cell mediated immunity,0.125029329746913,0.263747022607441,0.176625559130278
VEGFA,SERPINE1,GO:0061042,vascular wound healing,0.0108291573008633,0.0479567768000515,0.0321155948327132
MAP4,YAP1,GO:1902018,negative regulation of cilium assembly,0.101996775409744,0.226762061770683,0.151857547258058
PARK7,ZDHHC19,GO:0018198,peptidyl-cysteine modification,0.209161026137113,0.363646908939428,0.243526307832571
VEGFA,ERCC1,GO:0048569,post-embryonic animal organ development,0.317834974957327,0.480378111342835,0.321698617376093
LRP1,AGER,GO:0045056,transcytosis,0.00881986541200165,0.041501936527663,0.0277929307854145
ABCB9,IDE,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,0.00331336061107796,0.020370833555525,0.0136418975695876
ANGPT4,HBEGF,GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,0.0070834968205077,0.0354234921575177,0.0237223307653447
BCAS3,LRRK2,GO:0034260,negative regulation of GTPase activity,0.075080617955479,0.183719060287371,0.123032599289068
LRP2,TGFB2,GO:0003148,outflow tract septum morphogenesis,0.0186708153280529,0.0713898360403373,0.0478081973483013
PKHD1,AKAP9,GO:0051642,centrosome localization,0.331534763830816,0.496628294600227,0.332581006399602
SIRT2,CENPE,GO:0008608,attachment of spindle microtubules to kinetochore,0.519068139164123,0.663722782153907,0.444480496297098
SLC6A4,PARK7,GO:0098810,neurotransmitter reuptake,0.075080617955479,0.183719060287371,0.123032599289068
TYROBP,ABCA7,GO:2000010,positive regulation of protein localization to cell surface,0.0070834968205077,0.0354234921575177,0.0237223307653447
HSPA5,MAP3K20,GO:0071480,cellular response to gamma radiation,0.11932386121109,0.253708433357586,0.169902937499876
PPARD,SRC,GO:0014856,skeletal muscle cell proliferation,0.129999096096003,0.26576791629058,0.17797890702099
RPTOR,G6PD,GO:0006098,pentose-phosphate shunt,0.115677385674952,0.248882903573983,0.166671386721776
HTR2A,SLC6A3,GO:0015872,dopamine transport,0.220772518838743,0.376414066010509,0.252076191102874
SMC2,SIRT2,GO:0051984,positive regulation of chromosome segregation,0.476790441800182,0.640194925871464,0.428724410294912
PTPRO,ACE,GO:0098801,regulation of renal system process,0.349274226754344,0.515345555791694,0.345115543057674
MAPK7,PARK7,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,0.00560063863233742,0.0300194230693286,0.020103344985548
FEZ1,NECTIN2,GO:0051654,establishment of mitochondrion localization,0.0338933800191776,0.105509698306796,0.070657515951723
RELN,PSEN1,GO:0060999,positive regulation of dendritic spine development,0.0825006479745693,0.196217757344922,0.131402700814254
BMP1,RARB,GO:0061035,regulation of cartilage development,0.688338220751656,0.765594397422675,0.512701668344722
LEPR,GSK3B,GO:0045912,negative regulation of carbohydrate metabolic process,0.421484486665751,0.592389161711863,0.39670994529408
ALOX5AP,TBXAS1,GO:0046456,icosanoid biosynthetic process,0.752087715634927,0.811698548669876,0.543576600739253
TST,SUCLG2,GO:0044273,sulfur compound catabolic process,0.0984520142459282,0.222488722113451,0.148995786018631
SNCA,NSF,GO:0001921,positive regulation of receptor recycling,0.00528219094557074,0.0288903504778155,0.0193472299939809
TNF,PPARA,GO:0030730,sequestering of triglyceride,0.00435094534626705,0.0251652071206218,0.0168525837158917
TLR4,TUSC2,GO:0032700,negative regulation of interleukin-17 production,0.0471770700875902,0.131515841719353,0.0880732561396295
RNF6,HEYL,GO:0060765,regulation of androgen receptor signaling pathway,0.260805782332514,0.418216447393715,0.280070323176074
IL4I1,IL10,GO:0045577,regulation of B cell differentiation,0.154140134595542,0.296275393440564,0.198409091051124
ANTXR1,PICALM,GO:1905048,regulation of metallopeptidase activity,0.0219410341838372,0.0789770070500024,0.0528891582954651
CST3,MMP9,GO:0030574,collagen catabolic process,0.15452346949339,0.296275393440564,0.198409091051124
TNF,ABCA7,GO:2000010,positive regulation of protein localization to cell surface,0.0070834968205077,0.0354234921575177,0.0237223307653447
IL4I1,NECTIN2,GO:0002834,regulation of response to tumor cell,0.00881986541200165,0.041501936527663,0.0277929307854145
PIN1,PLK2,GO:0032465,regulation of cytokinesis,0.727852421383439,0.793758934171111,0.531562836905634
PDE4B,PDE8A,GO:0009214,cyclic nucleotide catabolic process,0.045115966472311,0.127031393658427,0.0850701202622221
ST6GAL1,B4GALNT2,GO:0018279,protein N-linked glycosylation via asparagine,0.455383845738699,0.629677100017675,0.421680854489449
TNF,LIMS2,GO:0072574,hepatocyte proliferation,0.0108291573008633,0.0479567768000515,0.0321155948327132
FUT2,ABCA2,GO:0006664,glycolipid metabolic process,0.803545568351988,0.84576979030154,0.566393359176797
RELN,RET,GO:0048265,response to pain,0.108563491611547,0.238040292503415,0.159410329425893
SNCA,PDE4B,GO:0071872,cellular response to epinephrine stimulus,0.000340654649501219,0.00343921200934792,0.00230316436604014
SORD,TACR3,GO:0060294,cilium movement involved in cell motility,0.958615713528209,0.965163635068702,0.646348781536582
SHISA6,SRC,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,0.101996775409744,0.226762061770683,0.151857547258058
SPRY2,WNT7B,GO:0070306,lens fiber cell differentiation,0.075080617955479,0.183719060287371,0.123032599289068
RBMS3,SPI1,GO:0002357,defense response to tumor cell,0.045115966472311,0.127031393658427,0.0850701202622221
AGT,ABCG8,GO:0014850,response to muscle activity,0.192542879727241,0.345580766779852,0.231427811217458
TMED10,BIN1,GO:1902959,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,0.000196052512469743,0.002214416884141,0.00148294610662231
MME,PPID,GO:0071492,cellular response to UV-A,0.00370596903479874,0.0222735916709208,0.0149161326782875
B4GALNT2,GMPPB,GO:0009225,nucleotide-sugar metabolic process,0.419387117124266,0.590991023557522,0.395773643034397
MSH2,EXO1,GO:0016446,somatic hypermutation of immunoglobulin genes,0.0653596078801984,0.166246871467493,0.11133186011472
CD55,IL6,GO:0002726,positive regulation of T cell cytokine production,0.0791304324606602,0.190352113336619,0.127474608499189
CASP3,RPTOR,GO:0071470,cellular response to osmotic stress,0.175631013654757,0.324405729917203,0.217247356444946
NOTCH1,RNF165,GO:0030513,positive regulation of BMP signaling pathway,0.486805685133636,0.646588492801964,0.433006040937686
SENP7,MX1,GO:0140374,antiviral innate immune response,0.160334821459893,0.30465166204561,0.204018493239499
THSD4,TNXB,GO:0048251,elastic fiber assembly,0.151298089574326,0.292633037922933,0.195969885961744
HMOX1,IL10,GO:0097421,liver regeneration,0.0338933800191776,0.105509698306796,0.070657515951723
NOTCH1,FNIP1,GO:0002320,lymphoid progenitor cell differentiation,0.0620662637882844,0.16120823405098,0.107957595858963
REST,NANOG,GO:0035019,somatic stem cell population maintenance,0.421446166664102,0.592389161711863,0.39670994529408
CREB3L1,VEGFA,GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,0.00560063863233742,0.0300194230693286,0.020103344985548
MACIR,PLEC,GO:0010761,fibroblast migration,0.26895514072813,0.42720147486357,0.286087397738565
TYROBP,SPI1,GO:0002283,neutrophil activation involved in immune response,0.115677385674952,0.248882903573983,0.166671386721776
INTS14,ELL,GO:0016073,snRNA metabolic process,0.609680513662427,0.718143807943894,0.480925055987564
DOCK4,ADAMTS1,GO:1904754,positive regulation of vascular associated smooth muscle cell migration,0.144904219000033,0.287468127598989,0.19251105952721
CD36,APOB,GO:0010744,positive regulation of macrophage derived foam cell differentiation,0.00560063863233742,0.0300194230693286,0.020103344985548
HMOX1,NECTIN2,GO:0045576,mast cell activation,0.421446166664102,0.592389161711863,0.39670994529408
LRP8,DAG1,GO:0036315,cellular response to sterol,0.054344946293367,0.146701092073381,0.0982424831049156
ADAMTS18,IL6,GO:0090330,regulation of platelet aggregation,0.296044238190574,0.455976182960194,0.305357184582534
IL1A,IGF1,GO:0045840,positive regulation of mitotic nuclear division,0.304326676558458,0.467633590041353,0.313163892781032
GRIN2B,PTK2B,GO:0051968,positive regulation of synaptic transmission glutamatergic,0.055110272832348,0.146761593775756,0.098282999759491
FEZ1,SCFD1,GO:1902902,negative regulation of autophagosome assembly,0.0653596078801984,0.166246871467493,0.11133186011472
PKDCC,PID1,GO:1903077,negative regulation of protein localization to plasma membrane,0.209207991031638,0.363646908939428,0.243526307832571
TRIP4,EFL1,GO:0006414,translational elongation,0.464488441427422,0.640194925871464,0.428724410294912
DLC1,SIRT2,GO:1900117,regulation of execution phase of apoptosis,0.108563491611547,0.238040292503415,0.159410329425893
TENT5A,PAIP1,GO:0048255,mRNA stabilization,0.344637459748621,0.51119055664852,0.342333031848283
MTLN,ANK3,GO:0045838,positive regulation of membrane potential,0.0158531454505639,0.0623966258855306,0.0417856430223212
NOTCH1,STK3,GO:0003157,endocardium development,0.0363778686858402,0.108788497230048,0.0728532552149381
PARP1,MMS22L,GO:0031297,replication fork processing,0.363006464962966,0.531790972104941,0.356128675349146
FGF10,REST,GO:0035019,somatic stem cell population maintenance,0.421446166664102,0.592389161711863,0.39670994529408
ERBB4,HBEGF,GO:0038128,ERBB2 signaling pathway,0.00435094534626705,0.0251652071206218,0.0168525837158917
TLR4,LRRK2,GO:0051770,positive regulation of nitric-oxide synthase biosynthetic process,0.00435094534626705,0.0251652071206218,0.0168525837158917
SPI1,PRKAA1,GO:2000756,regulation of peptidyl-lysine acetylation,0.50868226374386,0.661365958803866,0.44290218372372
CNTNAP2,CTNNA1,GO:0016264,gap junction assembly,0.0241002823399399,0.0846236305238033,0.056670577393199
AKT1,PLEC,GO:0043217,myelin maintenance,0.00435094534626705,0.0251652071206218,0.0168525837158917
SCARB1,NECTIN2,GO:0044406,adhesion of symbiont to host,0.0158531454505639,0.0623966258855306,0.0417856430223212
SEMA3F,PCSK6,GO:0007350,blastoderm segmentation,0.243390609140602,0.399099093988084,0.267267853593748
SOD1,TSKU,GO:0060122,inner ear receptor cell stereocilium organization,0.154140134595542,0.296275393440564,0.198409091051124
FUS,TRAF2,GO:0048255,mRNA stabilization,0.344637459748621,0.51119055664852,0.342333031848283
COL11A1,COL12A1,GO:0035987,endodermal cell differentiation,0.37769538107563,0.546074538210377,0.365694064276784
PPP3R1,DCC,GO:0099170,postsynaptic modulation of chemical synaptic transmission,0.00246636519602111,0.0162612882078838,0.0108898257637243
PMAIP1,STK3,GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.221596543948859,0.376414066010509,0.252076191102874
PARK7,TGFB2,GO:0042416,dopamine biosynthetic process,0.000553525213254686,0.00507744891188784,0.00340025545748969
PSEN1,GABBR1,GO:0051957,positive regulation of amino acid transport,0.0219410341838372,0.0789770070500024,0.0528891582954651
PHF14,SNCA,GO:0010642,negative regulation of platelet-derived growth factor receptor signaling pathway,0.00725087606427079,0.0356556841325609,0.0238778246056624
CR1L,CD55,GO:0030450,regulation of complement activation classical pathway,0.002482218349236,0.0162612882078838,0.0108898257637243
SRC,CD44,GO:0072673,lamellipodium morphogenesis,0.101996775409744,0.226762061770683,0.151857547258058
SORT1,HDAC9,GO:0060192,negative regulation of lipase activity,0.0197115407857904,0.0738697207776114,0.0494689214162716
ABCA2,ABCG8,GO:0032372,negative regulation of sterol transport,0.0386210892145194,0.114083137278961,0.0763989587826508
AGT,SRC,GO:0048011,neurotrophin TRK receptor signaling pathway,0.0157383588187803,0.0623966258855306,0.0417856430223212
CLDN1,TACR3,GO:0042538,hyperosmotic salinity response,0.0547889763815444,0.146701092073381,0.0982424831049156
ARID1B,BTG1,GO:0045663,positive regulation of myoblast differentiation,0.304326676558458,0.467633590041353,0.313163892781032
MSX2,RNF165,GO:0035136,forelimb morphogenesis,0.232874995513615,0.389733458287901,0.260995894100892
GHRL,RFX6,GO:0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus,0.0255613833357577,0.0875711308237231,0.0586444532814014
SRC,NTRK2,GO:2000811,negative regulation of anoikis,0.0241002823399399,0.0846236305238033,0.056670577393199
CHRNA7,PTN,GO:0140059,dendrite arborization,0.002482218349236,0.0162612882078838,0.0108898257637243
BCAS3,ESR1,GO:0071391,cellular response to estrogen stimulus,0.26975425558295,0.42720147486357,0.286087397738565
MTHFD1,MTHFR,GO:0050667,homocysteine metabolic process,0.00964826347178884,0.0442349622314674,0.0296231777708766
DLC1,APOD,GO:0051895,negative regulation of focal adhesion assembly,0.0197115407857904,0.0738697207776114,0.0494689214162716
PSEN1,SERPINE1,GO:0050820,positive regulation of coagulation,0.0386210892145194,0.114083137278961,0.0763989587826508
GRIN2B,NRXN1,GO:0051968,positive regulation of synaptic transmission glutamatergic,0.055110272832348,0.146761593775756,0.098282999759491
OVOL2,STK3,GO:0003157,endocardium development,0.0363778686858402,0.108788497230048,0.0728532552149381
COBL,GLI2,GO:0033504,floor plate development,0.151298089574326,0.292633037922933,0.195969885961744
SCARB1,CYP46A1,GO:0006707,cholesterol catabolic process,0.0218135910100526,0.0789770070500024,0.0528891582954651
TSKU,TYROBP,GO:0032908,regulation of transforming growth factor beta1 production,0.0363778686858402,0.108788497230048,0.0728532552149381
TET2,KAT8,GO:0051568,histone H3-K4 methylation,0.708625032314079,0.78042386860328,0.522632637850979
AP2A2,SNAP25,GO:0099590,neurotransmitter receptor internalization,0.0219410341838372,0.0789770070500024,0.0528891582954651
ST3GAL1,PRKAA1,GO:0046513,ceramide biosynthetic process,0.633349743386721,0.730197514080584,0.488997156915709
HSD11B1,CYP46A1,GO:0006706,steroid catabolic process,0.0791304324606602,0.190352113336619,0.127474608499189
SOD1,RAB21,GO:0008089,anterograde axonal transport,0.197756158695495,0.349007360648242,0.233722525493029
IL6,RORA,GO:0072539,T-helper 17 cell differentiation,0.11932386121109,0.253708433357586,0.169902937499876
NOTCH4,AQP4,GO:0060354,negative regulation of cell adhesion molecule production,0.0653596078801984,0.166246871467493,0.11133186011472
TYW1,PUS1,GO:0006400,tRNA modification,0.84900698310459,0.880729282108256,0.58980495914948
SPI1,RAP1A,GO:1903306,negative regulation of regulated secretory pathway,0.0219410341838372,0.0789770070500024,0.0528891582954651
VEGFA,ACE,GO:0038083,peptidyl-tyrosine autophosphorylation,0.00881986541200165,0.041501936527663,0.0277929307854145
HFE,IL10,GO:1900121,negative regulation of receptor binding,0.045115966472311,0.127031393658427,0.0850701202622221
TLR4,TLR2,GO:0070391,response to lipoteichoic acid,0.002482218349236,0.0162612882078838,0.0108898257637243
CST3,ANTXR1,GO:1903054,negative regulation of extracellular matrix organization,0.00725087606427079,0.0356556841325609,0.0238778246056624
